bodyparts,Nose,Nose,Nose,EarR,EarR,EarR,EarL,EarL,EarL,Back1,Back1,Back1,Back6,Back6,Back6,Back12,Back12,Back12,Tail1,Tail1,Tail1,Tail6,Tail6,Tail6,Tail12,Tail12,Tail12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
FrameIdx,,,,,,,,,,,,,,,,,,,,,,,,,,,
150467,218.4973907470703,55.17790603637695,0.9999996423721313,179.55313110351562,71.66477966308594,0.9999969005584717,180.98875427246094,38.16224670410156,0.9999998807907104,176.47621154785156,54.47233963012695,0.9999991655349731,133.65618896484375,54.966888427734375,0.9999955892562866,81.43643951416016,56.8198127746582,0.9999992847442627,75.41279602050781,58.38801193237305,0.9999998807907104,24.22125244140625,50.654151916503906,0.9995390176773071,222.4115753173828,51.734073638916016,0.0002234704588772729
150468,221.921875,55.329673767089844,0.9999992847442627,183.59170532226562,72.08967590332031,0.9999935626983643,185.4552459716797,37.526790618896484,0.9999998807907104,180.69866943359375,54.70249938964844,0.9999992847442627,137.8113250732422,55.3408203125,0.9999964237213135,85.615478515625,57.1883659362793,0.9999996423721313,80.30656433105469,58.555633544921875,0.9999998807907104,28.06073760986328,50.03153610229492,0.9999032020568848,224.70692443847656,50.67965316772461,0.0002884567657019943
150469,225.8475799560547,55.2851448059082,0.9999998807907104,188.28587341308594,72.03368377685547,0.999996542930603,188.65269470214844,37.86376190185547,0.9999997615814209,184.98800659179688,55.00739669799805,0.9999988079071045,141.55441284179688,55.111385345458984,0.9999969005584717,88.93658447265625,57.57688522338867,0.9999985694885254,81.95845031738281,58.71320343017578,0.9999998807907104,31.054800033569336,49.93030548095703,0.999901533126831,228.13291931152344,49.38569641113281,0.00021887033653911203
150470,230.42111206054688,54.96939468383789,0.9999998807907104,192.73089599609375,71.42744445800781,0.9999954700469971,193.66343688964844,37.559410095214844,0.9999998807907104,189.54171752929688,54.31688690185547,0.9999995231628418,145.26649475097656,54.523372650146484,0.9999920129776001,91.19595336914062,57.64168167114258,0.9999992847442627,85.66230773925781,59.087432861328125,0.9999998807907104,33.94932556152344,51.85325622558594,0.9998949766159058,767.0357055664062,84.64750671386719,0.0002076257806038484
150471,234.6809844970703,54.85810470581055,0.9999997615814209,196.9130401611328,71.51628875732422,0.9999964237213135,197.74974060058594,37.42967224121094,0.9999998807907104,193.56727600097656,54.0582160949707,0.9999994039535522,148.777587890625,54.102474212646484,0.999993085861206,95.38251495361328,57.410282135009766,0.9999985694885254,89.57360076904297,58.8797492980957,0.9999997615814209,36.65923309326172,51.557289123535156,0.9998942613601685,238.44215393066406,50.789554595947266,0.0002704131475184113
150472,238.5387725830078,54.896034240722656,0.9999995231628418,200.46388244628906,71.28102111816406,0.9999959468841553,201.4641571044922,36.57958221435547,0.9999998807907104,197.2440643310547,53.69255828857422,0.9999992847442627,152.89492797851562,53.44375991821289,0.9999951124191284,98.44750213623047,56.447303771972656,0.9999994039535522,92.86396026611328,57.932044982910156,0.9999998807907104,42.264869689941406,50.939083099365234,0.9999713897705078,242.38095092773438,48.36915969848633,0.000403232203098014
150473,242.28489685058594,54.43412780761719,1.0,204.57525634765625,71.50556945800781,0.9999970197677612,204.48709106445312,36.098079681396484,0.9999998807907104,201.11993408203125,53.867919921875,0.9999991655349731,157.577880859375,52.88292694091797,0.9999970197677612,102.25410461425781,56.06427001953125,0.9999992847442627,96.09945678710938,57.27057647705078,0.9999995231628418,44.433738708496094,51.21237564086914,0.9999667406082153,244.62550354003906,48.38048553466797,0.0003350852057337761
150474,247.02377319335938,53.65813064575195,0.9999998807907104,209.3001251220703,70.97762298583984,0.9999971389770508,208.4175262451172,36.258243560791016,0.9999997615814209,205.33038330078125,53.052574157714844,0.9999996423721313,160.576171875,52.51153564453125,0.9999926090240479,106.51656341552734,54.86650085449219,0.9999996423721313,99.77957153320312,56.54359817504883,0.9999998807907104,45.8365592956543,51.51409149169922,0.9999247789382935,767.0029907226562,84.62798309326172,0.0002046085282927379
150475,251.2548828125,53.37375259399414,0.9999998807907104,213.5572967529297,70.57393646240234,0.9999973773956299,212.6987762451172,36.05504608154297,0.9999998807907104,209.3992462158203,52.90635299682617,0.9999995231628418,165.1116485595703,51.73101043701172,0.9999954700469971,111.39327239990234,54.08296203613281,0.9999995231628418,104.48690795898438,55.47296905517578,0.9999998807907104,48.66972351074219,51.528812408447266,0.9998871088027954,255.48379516601562,47.631473541259766,0.00035266581107862294
150476,254.91921997070312,52.76971435546875,0.9999997615814209,217.44671630859375,69.61065673828125,0.9999980926513672,216.2933349609375,36.229408264160156,0.9999996423721313,213.47348022460938,53.031681060791016,0.9999994039535522,169.24752807617188,51.544246673583984,0.9999951124191284,115.37429809570312,53.36692810058594,0.9999997615814209,108.44434356689453,54.29066848754883,1.0,51.815731048583984,51.571876525878906,0.9998013377189636,258.9913024902344,47.412628173828125,0.0009197854087688029
150477,259.2179260253906,52.6600227355957,1.0,221.9376678466797,70.21038055419922,0.9999970197677612,220.07369995117188,35.43477249145508,0.9999997615814209,217.8102569580078,53.083946228027344,0.9999991655349731,173.91741943359375,51.563201904296875,0.999996542930603,120.0595703125,52.80293273925781,0.9999986886978149,112.95033264160156,53.789222717285156,0.9999997615814209,60.22868347167969,53.063114166259766,0.9994063377380371,17.864023208618164,49.83647155761719,0.002619098173454404
150478,263.72540283203125,51.921810150146484,0.9999998807907104,225.79591369628906,69.93255615234375,0.999997615814209,224.6395721435547,35.938758850097656,0.9999997615814209,222.01901245117188,52.30674362182617,0.9999995231628418,177.7339324951172,51.44287109375,0.999994158744812,124.35624694824219,52.11275863647461,0.9999992847442627,117.31974792480469,53.325138092041016,0.9999998807907104,64.77002716064453,52.798057556152344,0.9998693466186523,18.254627227783203,44.90937042236328,0.007790337782353163
