bodyparts,coords,side,front,overhead
StartPlatR,x,33.04924011230469,85.85664367675781,49.98406982421875
StartPlatR,y,200.4779815673828,176.58131408691406,99.23970031738281
StartPlatL,x,76.83624267578125,221.65907287597656,50.85100173950195
StartPlatL,y,191.06289672851562,175.23350524902344,28.662399291992188
TransitionR,x,1490.100341796875,38.799137115478516,765.5017700195312
TransitionR,y,209.10137939453125,214.4332733154297,99.56448364257812
TransitionL,x,1468.0870361328125,263.78570556640625,764.850341796875
TransitionL,y,202.934814453125,213.60997009277344,28.65792465209961
