bodyparts,Nose,Nose,Nose,EarR,EarR,EarR,EarL,EarL,EarL,ForepawToeR,ForepawToeR,ForepawToeR,ForepawToeL,ForepawToeL,ForepawToeL,HindpawToeR,HindpawToeR,HindpawToeR,HindpawToeL,HindpawToeL,HindpawToeL
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
FrameIdx,,,,,,,,,,,,,,,,,,,,,
150520,182.74180603027344,168.8500213623047,1.0,135.92974853515625,95.21436309814453,1.0,217.77984619140625,87.4983139038086,1.0,163.92381286621094,188.44619750976562,1.0,200.62164306640625,186.75628662109375,1.0,134.15887451171875,166.59959411621094,0.999602735042572,216.5995635986328,186.64231872558594,1.0
150521,182.81753540039062,169.79415893554688,1.0,131.99903869628906,99.4788818359375,1.0,216.2333221435547,87.47782897949219,1.0,164.18540954589844,188.48577880859375,1.0,202.24148559570312,187.43063354492188,1.0,132.46864318847656,167.87571716308594,0.999566376209259,218.02000427246094,186.35183715820312,1.0
150522,182.68482971191406,169.50006103515625,1.0,130.26516723632812,100.73328399658203,1.0,215.32786560058594,86.21823120117188,1.0,163.99874877929688,188.19407653808594,1.0,203.83029174804688,187.62461853027344,1.0,129.87156677246094,169.30503845214844,0.9999309778213501,217.7142791748047,186.70166015625,1.0
150523,182.24853515625,168.52859497070312,1.0,129.23583984375,100.75933837890625,1.0,214.2892303466797,85.15989685058594,1.0,163.74391174316406,187.96994018554688,1.0,204.9593963623047,187.1108856201172,1.0,127.12741088867188,172.5625,0.9999979734420776,217.22454833984375,187.20323181152344,1.0
150524,181.34959411621094,167.93121337890625,1.0,129.08306884765625,99.50303649902344,1.0,213.33119201660156,84.18142700195312,1.0,163.9759063720703,187.98785400390625,1.0,204.3151397705078,186.91940307617188,1.0,124.81951904296875,177.0149688720703,0.9999992847442627,217.5344696044922,186.4779815673828,1.0
150525,180.18780517578125,167.13539123535156,1.0,129.6012725830078,97.4792709350586,1.0,212.87953186035156,84.0888671875,1.0,163.80604553222656,188.10826110839844,1.0,203.53317260742188,185.00294494628906,1.0,124.00830078125,178.14080810546875,0.9999998807907104,217.02651977539062,186.11395263671875,1.0
150526,179.69674682617188,167.62413024902344,1.0,129.6439208984375,95.33397674560547,1.0,213.44219970703125,84.3461685180664,1.0,163.7512969970703,188.55711364746094,1.0,204.64768981933594,183.8318328857422,1.0,125.66203308105469,177.64959716796875,0.9999996423721313,216.56646728515625,185.83399963378906,0.9999998807907104
150527,178.8726806640625,168.2984619140625,1.0,129.6192626953125,93.22532653808594,1.0,213.89979553222656,84.13107299804688,1.0,163.7714385986328,188.60928344726562,1.0,205.73129272460938,183.0605010986328,1.0,126.16175842285156,176.0884552001953,0.9999997615814209,218.4988555908203,184.43157958984375,1.0
150528,178.2608642578125,169.1669921875,1.0,129.2922821044922,91.36489868164062,1.0,214.6953125,84.1323471069336,1.0,163.65333557128906,188.00314331054688,1.0,206.08815002441406,182.23619079589844,1.0,126.31583404541016,175.11962890625,1.0,218.01107788085938,185.43133544921875,0.9999998807907104
150529,178.3056182861328,170.2499237060547,1.0,129.30133056640625,89.93486022949219,1.0,215.59230041503906,82.98725891113281,1.0,163.3335418701172,188.50473022460938,1.0,206.26895141601562,181.1501922607422,1.0,125.8305435180664,175.216552734375,1.0,217.7013702392578,184.88954162597656,0.9999997615814209
150530,178.18414306640625,170.32884216308594,1.0,129.88499450683594,88.85694885253906,1.0,215.11004638671875,82.11570739746094,1.0,162.29721069335938,186.69183349609375,1.0,205.42311096191406,180.81459045410156,1.0,126.90692138671875,177.2565155029297,1.0,217.91490173339844,184.5369415283203,0.9999998807907104
150531,178.78005981445312,170.45071411132812,1.0,129.95166015625,88.84798431396484,1.0,214.4022216796875,81.53063201904297,1.0,160.15243530273438,184.64382934570312,1.0,203.44927978515625,182.4001007080078,1.0,129.07440185546875,180.22286987304688,1.0,218.4410858154297,184.53363037109375,1.0
150532,179.22735595703125,169.77371215820312,1.0,129.01934814453125,90.551513671875,1.0,213.0564422607422,80.8160400390625,1.0,149.83131408691406,180.56260681152344,1.0,203.45652770996094,185.12551879882812,1.0,128.99288940429688,183.15667724609375,1.0,216.85940551757812,185.86788940429688,0.9999998807907104
150533,180.47801208496094,171.0621337890625,1.0,128.5264892578125,92.266357421875,1.0,212.13201904296875,81.1923599243164,1.0,147.70753479003906,181.24771118164062,0.9999998807907104,205.72711181640625,189.19203186035156,1.0,128.60426330566406,184.6290283203125,1.0,216.2932586669922,190.02638244628906,0.9999802112579346
150534,181.6915283203125,171.41676330566406,1.0,128.1686553955078,93.32147216796875,1.0,212.19357299804688,82.06965637207031,1.0,145.09971618652344,180.1553955078125,0.9999996423721313,206.2469024658203,193.0629425048828,1.0,126.6948471069336,184.9401092529297,1.0,217.97634887695312,189.02041625976562,0.9999886751174927
